TC_ID,Scenario ID,Module,Tên Test Case,Điều kiện tiên quyết,Bước thực hiện,Dữ liệu test,Kết quả mong đợi,Kết quả thực tế,Trạng thái,Mức độ ưu tiên,Loại test,Người thực hiện,Ngày test,Ghi chú
TC_LP_012,S12,Learning Path Generation,Sinh viên rớt môn tạo lộ trình học tập,"Sinh viên 2110010 (FAILED SUBJECTS) có môn F (3.2, 3.5, 3.8) và môn học lại (CO2003, CO2017 xuất hiện 2 lần). Dữ liệu JSON: sql-generation-body-request-for-student-with-failed-subjects.json","1. Đăng nhập bằng tài khoản sinh viên 2110010
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cấu hình chuẩn
4. Xác nhận kết quả tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình được tạo","Mã SV: 2110010
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Hệ thống xử lý môn rớt và học lại, môn F được xếp lại vào lộ trình, tính khả thi MEDIUM, GPA dự đoán thấp",,Not Run,Critical,Integration,,,
TC_LP_013,S01,Learning Path Generation,Ưu tiên GPA > Nghề nghiệp > Ra trường đúng hạn,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên GPA #1
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: 15-1252.00 - Nhà Phát triển Phần mềm
Ưu tiên #1: Đạt GPA mong muốn
Ưu tiên #2: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #3: Ra trường đúng hạn
GPA mục tiêu: 2.5","Lộ trình sử dụng grade-based scoring, chọn môn có phổ điểm tốt, ưu tiên môn dễ đạt điểm cao, tải mỗi học kỳ vừa phải",,Not Run,Critical,Integration,Thử nghiệm hoán vị P1,,
TC_LP_014,S01,Learning Path Generation,Ưu tiên GPA > Ra trường đúng hạn > Nghề nghiệp,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên GPA #1, OnTime #2
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: 15-2051.00 - Nhà Khoa học Dữ liệu
Ưu tiên #1: Đạt GPA mong muốn
Ưu tiên #2: Ra trường đúng hạn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.5","Lộ trình sử dụng grade-based scoring, tối ưu cân bằng giữa GPA và thời gian, có thể chọn thêm môn dễ để tăng GPA",,Not Run,High,Integration,Thử nghiệm hoán vị P2,,
TC_LP_015,S01,Learning Path Generation,Ưu tiên Nghề nghiệp > GPA > Ra trường đúng hạn,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên Nghề nghiệp #1 (không chọn nghề cụ thể)
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: (không chọn)
Ưu tiên #1: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Ra trường đúng hạn
GPA mục tiêu: 2.0","Lộ trình sử dụng occupation-based scoring (trung bình tất cả nghề), chọn môn có giá trị nghề nghiệp cao, kết quả khác với P1/P2",,Not Run,Critical,Integration,Thử nghiệm hoán vị P3 - occupation-based scoring,,
TC_LP_016,S01,Learning Path Generation,Ưu tiên Nghề nghiệp > Ra trường đúng hạn > GPA,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên Nghề nghiệp #1, OnTime #2
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: (không chọn)
Ưu tiên #1: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #2: Ra trường đúng hạn
Ưu tiên #3: Đạt GPA mong muốn
GPA mục tiêu: 4.0","Lộ trình sử dụng occupation-based scoring, ưu tiên hoàn thành nhanh + kiến thức nghề, có thể chọn môn khó hơn nhưng giá trị cao",,Not Run,High,Integration,Thử nghiệm hoán vị P4,,
TC_LP_017,S01,Learning Path Generation,Ưu tiên Ra trường đúng hạn > GPA > Nghề nghiệp,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên OnTime #1
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: 15-1212.00 - Chuyên viên Phân tích Bảo mật Thông tin
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.0","Lộ trình sử dụng grade-based scoring (OnTime #1 nhưng Occ không phải #1), tối ưu để hoàn thành đúng hạn, môn được xếp chặt hơn",,Not Run,High,Integration,Thử nghiệm hoán vị P5 (giống cấu hình chuẩn),,
TC_LP_018,S01,Learning Path Generation,Ưu tiên Ra trường đúng hạn > Nghề nghiệp > GPA,"Sinh viên 2110001 (baseline), cùng dữ liệu với TC_LP_001","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên OnTime #1, Occ #2
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 0
Nghề nghiệp: 15-1252.00 - Nhà Phát triển Phần mềm
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #3: Đạt GPA mong muốn
GPA mục tiêu: 2.5","Lộ trình sử dụng grade-based scoring, tối ưu thời gian + kiến thức nghề, GPA có thể thấp hơn do chọn môn khó nhưng giá trị",,Not Run,High,Integration,Thử nghiệm hoán vị P6,,
TC_LP_019,S02,Learning Path Generation,Sinh viên mới - Cường độ thấp (Low),"Sinh viên 2410001 chưa có dữ liệu điểm, cường độ Low ≤13 TC","1. Đăng nhập bằng tài khoản sinh viên 2410001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Low
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ ≤ 13 TC","Mã SV: 2410001
Cường độ HK chính: Low (≤13 TC)
Số HK hè: 0
Nghề nghiệp: 15-1252.00 - Nhà Phát triển Phần mềm
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 2.5","Mỗi học kỳ chính ≤13 TC, lộ trình kéo dài hơn, tính khả thi WEAK hoặc MEDIUM do quá nhiều môn cần hoàn thành với tải thấp",,Not Run,Critical,Integration,Biên kiểm cường độ Low,,
TC_LP_020,S02,Learning Path Generation,Sinh viên mới - Cường độ cao (Heavy),"Sinh viên 2410001 chưa có dữ liệu điểm, cường độ Heavy 18-22 TC","1. Đăng nhập bằng tài khoản sinh viên 2410001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Heavy
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ 18-22 TC","Mã SV: 2410001
Cường độ HK chính: Heavy (18-22 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 2.0","Mỗi học kỳ chính 18-22 TC, lộ trình ngắn hơn, rủi ro cao (risk_level cao), tính khả thi MEDIUM hoặc GOOD nhưng với rủi ro",,Not Run,Critical,Integration,Biên kiểm cường độ Heavy,,
TC_LP_021,S04,Learning Path Generation,Sinh viên năm hai - Cường độ thấp (Low),"Sinh viên 2110003 hoàn thành năm 1-2, cường độ Low ≤13 TC","1. Đăng nhập bằng tài khoản sinh viên 2110003
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Low
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ ≤ 13 TC","Mã SV: 2110003
Cường độ HK chính: Low (≤13 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: 15-1212.00 - Chuyên viên Phân tích Bảo mật Thông tin
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 2.5","Mỗi học kỳ ≤13 TC, lộ trình kéo dài, có thể không ra trường đúng hạn, tính khả thi WEAK hoặc MEDIUM",,Not Run,High,Integration,Biên kiểm cường độ Low cho sinh viên còn nhiều môn,,
TC_LP_022,S04,Learning Path Generation,Sinh viên năm hai - Cường độ cao (Heavy),"Sinh viên 2110003 hoàn thành năm 1-2, cường độ Heavy 18-22 TC","1. Đăng nhập bằng tài khoản sinh viên 2110003
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Heavy
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ 18-22 TC","Mã SV: 2110003
Cường độ HK chính: Heavy (18-22 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.5","Mỗi học kỳ 18-22 TC, hoàn thành nhanh, rủi ro cao, tính khả thi GOOD hoặc MEDIUM, risk_level high",,Not Run,High,Integration,Biên kiểm cường độ Heavy cho sinh viên còn nhiều môn,,
TC_LP_023,S05,Learning Path Generation,Sinh viên GPA cao - Cường độ thấp (Low),"Sinh viên 2110004 toàn điểm A/A+, cường độ Low ≤13 TC","1. Đăng nhập bằng tài khoản sinh viên 2110004
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Low
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ ≤ 13 TC","Mã SV: 2110004
Cường độ HK chính: Low (≤13 TC)
Số HK hè: 0
Nghề nghiệp: 15-2051.00 - Nhà Khoa học Dữ liệu
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.5","Lộ trình nhẹ, GPA dự đoán vẫn cao do lịch sử tốt, nhưng thời gian dài hơn, tính khả thi phụ thuộc số học kỳ còn lại",,Not Run,Medium,Integration,Kiểm tra sinh viên GPA cao với tải nhẹ,,
TC_LP_024,S05,Learning Path Generation,Sinh viên GPA cao - Cường độ cao (Heavy),"Sinh viên 2110004 toàn điểm A/A+, cường độ Heavy 18-22 TC","1. Đăng nhập bằng tài khoản sinh viên 2110004
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Heavy
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ 18-22 TC","Mã SV: 2110004
Cường độ HK chính: Heavy (18-22 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: 15-1212.00 - Chuyên viên Phân tích Bảo mật Thông tin
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 3.5","Lộ trình ngắn, GPA dự đoán cao, rủi ro trung bình do sinh viên đã chứng minh khả năng, tính khả thi GOOD",,Not Run,Medium,Integration,Kiểm tra sinh viên GPA cao với tải nặng,,
TC_LP_025,S06,Learning Path Generation,Sinh viên GPA thấp - Cường độ thấp (Low),"Sinh viên 2110005 toàn điểm C/D, cường độ Low ≤13 TC","1. Đăng nhập bằng tài khoản sinh viên 2110005
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Low
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ ≤ 13 TC","Mã SV: 2110005
Cường độ HK chính: Low (≤13 TC)
Số HK hè: 3, cường độ: Heavy (7-8 TC)
Nghề nghiệp: 15-1252.00 - Nhà Phát triển Phần mềm
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 2.5","Tính khả thi WEAK do GPA thấp + tải thấp + GPA mục tiêu cao, khuyến nghị EXTEND_TIMELINE hoặc LOWER_GPA_TARGET",,Not Run,Critical,Integration,Kiểm tra trường hợp khó nhất: GPA thấp + tải thấp,,
TC_LP_026,S06,Learning Path Generation,Sinh viên GPA thấp - Cường độ cao (Heavy),"Sinh viên 2110005 toàn điểm C/D, cường độ Heavy 18-22 TC","1. Đăng nhập bằng tài khoản sinh viên 2110005
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với cường độ Heavy
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra số môn mỗi học kỳ 18-22 TC","Mã SV: 2110005
Cường độ HK chính: Heavy (18-22 TC)
Số HK hè: 0
Nghề nghiệp: 15-2051.00 - Nhà Khoa học Dữ liệu
Ưu tiên #1: Ra trường đúng hạn
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Kiến thức chuyên sâu & nghề nghiệp
GPA mục tiêu: 2.0","Tính khả thi MEDIUM, rủi ro cao (Heavy + GPA thấp), GPA dự đoán thấp hơn mục tiêu, khuyến nghị REDUCE_LOAD_FOR_GPA hoặc CHOOSE_MANAGEABLE_COURSES",,Not Run,Critical,Integration,Kiểm tra rủi ro khi GPA thấp + tải nặng,,
TC_LP_027,S01,Learning Path Generation,Baseline - Không chọn nghề nghiệp (ưu tiên Nghề nghiệp #1),"Sinh viên 2110001, ưu tiên Nghề nghiệp #1 nhưng không chọn nghề cụ thể","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với ưu tiên Nghề nghiệp #1, không chọn nghề
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: (không chọn)
Ưu tiên #1: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Ra trường đúng hạn
GPA mục tiêu: 2.0","Sử dụng occupation-based scoring với trung bình tất cả nghề, chọn môn có giá trị nghề trung bình cao nhất",,Not Run,High,Integration,Nghề nghiệp không chọn = average valuation,,
TC_LP_028,S01,Learning Path Generation,Baseline - Nhà Phát triển Phần mềm (ưu tiên Nghề nghiệp #1),"Sinh viên 2110001, ưu tiên Nghề nghiệp #1, chọn nghề Software Developers","1. Đăng nhập bằng tài khoản sinh viên 2110001
2. Truy cập trang Learning Path
3. Tạo mục tiêu học tập với nghề Software Developers (15-1252.00)
4. Xác nhận tính khả thi
5. Tạo lộ trình học tập
6. Kiểm tra lộ trình - so sánh với TC_LP_027","Mã SV: 2110001
Cường độ HK chính: Standard (16-17 TC)
Số HK hè: 1, cường độ: Standard
Nghề nghiệp: 15-1252.00 - Nhà Phát triển Phần mềm
Ưu tiên #1: Kiến thức chuyên sâu & nghề nghiệp
Ưu tiên #2: Đạt GPA mong muốn
Ưu tiên #3: Ra trường đúng hạn
GPA mục tiêu: 3.0","Sử dụng occupation-specific scoring, chọn môn phù hợp Software Dev (CO môn lập trình, kiến trúc), lộ trình khác với TC_LP_027",,Not Run,Critical,Integration,So sánh occupation-specific vs average valuation,,
